subscription_level,sign_up_date,building_type,vacancy_level,city_id,has_online_tour,photo_quality,lead_volume
Level4,7/24/16,low-rise,LOW,175,,low,medium
Level9,12/23/18,low-rise,LOW,193,,high,medium
Level1,12/2/16,low-rise,LOW,155,,high,medium
Level4,9/3/17,low-rise,LOW,155,,low,medium
Level2,7/29/16,low-rise,LOW,165,,high,high
Level7,5/26/17,mid-rise,LOW,152,,high,medium
Level7,7/7/17,low-rise,LOW,191,,low,high
Level7,2/27/18,mid-rise,HIGH,155,no,high,high
Level4,7/28/18,low-rise,LOW,154,,low,medium
Level2,2/4/17,low-rise,LOW,176,,high,medium
Level6,4/30/18,low-rise,LOW,195,,high,medium
Level7,3/26/18,mid-rise,LOW,179,,low,medium
Level2,12/25/17,low-rise,HIGH,130,no,low,high
Level7,11/28/17,mid-rise,LOW,123,,high,medium
Level10,7/28/16,low-rise,LOW,123,,high,medium
Level3,10/31/17,mid-rise,LOW,193,,low,high
Level8,12/6/18,mid-rise,LOW,123,,high,high
Level9,2/2/18,low-rise,LOW,130,,high,medium
Level5,4/28/17,low-rise,LOW,160,,high,high
Level3,3/24/17,low-rise,LOW,152,,low,high
Level1,9/1/17,low-rise,LOW,195,,high,medium
Level1,6/23/18,low-rise,LOW,155,,high,medium
Level7,9/6/16,low-rise,LOW,154,,high,medium
Level5,12/31/17,mid-rise,HIGH,123,no,low,high
Level6,6/23/17,low-rise,HIGH,152,no,high,medium
Level1,12/29/17,mid-rise,LOW,199,,low,medium
Level10,5/27/16,mid-rise,HIGH,152,no,high,medium
Level8,9/6/17,low-rise,LOW,105,,high,high
Level6,7/25/17,low-rise,HIGH,188,yes,low,high
Level7,11/2/18,low-rise,LOW,188,,low,high
Level4,12/27/18,low-rise,LOW,199,,low,high
Level6,7/31/16,low-rise,LOW,141,,high,medium
Level1,2/27/17,mid-rise,HIGH,193,no,low,high
Level5,1/3/17,mid-rise,LOW,193,,low,high
Level5,4/26/17,low-rise,LOW,193,,low,high
Level10,5/27/17,mid-rise,LOW,123,,low,high
Level4,9/6/17,low-rise,LOW,176,,low,medium
Level9,10/1/16,low-rise,LOW,175,,low,high
Level7,11/1/16,low-rise,LOW,176,,low,high
Level8,3/8/17,low-rise,LOW,188,,high,medium
Level9,7/30/18,mid-rise,LOW,154,,high,medium
Level8,3/5/18,mid-rise,HIGH,130,yes,low,high
Level7,3/23/17,low-rise,LOW,199,,low,high
Level7,5/28/17,low-rise,LOW,152,,high,medium
Level7,5/27/17,low-rise,LOW,195,,low,high
Level3,9/3/18,low-rise,LOW,152,,high,medium
Level7,7/5/18,mid-rise,LOW,179,,low,medium
Level8,5/26/17,low-rise,LOW,152,,high,high
Level2,9/3/17,mid-rise,LOW,154,,high,medium
Level10,11/4/16,low-rise,LOW,123,,high,medium
Level6,9/30/16,mid-rise,LOW,199,,low,high
Level5,9/27/17,low-rise,LOW,160,,low,medium
Level6,3/9/17,mid-rise,HIGH,152,no,low,high
Level2,4/23/17,low-rise,LOW,152,,high,medium
Level1,11/3/16,mid-rise,LOW,175,,low,high
Level9,12/26/17,mid-rise,HIGH,180,no,low,medium
Level4,11/25/18,low-rise,HIGH,191,no,low,high
Level1,6/30/18,low-rise,HIGH,155,no,low,high
Level1,5/2/18,mid-rise,LOW,155,,low,medium
Level9,11/24/18,mid-rise,LOW,179,,high,medium
Level6,2/4/17,mid-rise,LOW,178,,low,high
Level10,8/2/17,mid-rise,LOW,195,,high,medium
Level2,10/28/16,mid-rise,LOW,130,,low,high
Level2,8/28/17,low-rise,LOW,103,,low,high
Level2,2/26/17,mid-rise,LOW,179,,low,high
Level7,4/27/17,low-rise,LOW,155,,low,high
Level3,4/4/18,mid-rise,LOW,152,,high,medium
Level10,11/5/16,low-rise,LOW,123,,low,high
Level3,7/30/18,low-rise,LOW,199,,low,high
Level10,7/30/18,mid-rise,LOW,130,,low,high
Level5,11/3/17,low-rise,HIGH,179,no,high,medium
Level1,5/7/18,low-rise,HIGH,152,no,low,high
Level9,12/2/17,low-rise,LOW,178,,high,medium
Level7,4/26/15,mid-rise,LOW,179,,low,high
Level10,10/24/16,low-rise,LOW,103,,low,medium
Level10,9/26/17,low-rise,HIGH,154,no,low,high
Level2,12/29/16,mid-rise,LOW,180,,high,medium
Level8,1/3/16,mid-rise,LOW,152,,low,medium
Level6,10/26/16,mid-rise,LOW,176,,low,high
Level7,11/6/18,low-rise,LOW,191,,low,high
Level6,1/25/17,low-rise,LOW,188,,high,medium
Level3,12/6/18,low-rise,LOW,130,,low,medium
Level5,3/2/18,low-rise,LOW,123,,low,high
Level8,10/24/17,mid-rise,LOW,199,,high,medium
Level8,10/31/17,low-rise,LOW,123,,high,high
Level3,4/5/18,low-rise,LOW,175,,low,high
Level4,4/28/17,low-rise,LOW,180,,low,high
Level4,2/2/17,low-rise,LOW,123,,high,medium
Level7,12/4/18,low-rise,LOW,175,,high,medium
Level1,1/28/17,mid-rise,LOW,178,,high,medium
